ZQX6WG1	HG00405	data/crams/HG00405.final.cram	data/crams/HG00405.final.cram.crai
OAXG35F	HG00408	data/crams/HG00408.final.cram	data/crams/HG00408.final.cram.crai
89MEVYC	HG00418	data/crams/HG00418.final.cram	data/crams/HG00418.final.cram.crai
LGOO778	HG00420	data/crams/HG00420.final.cram	data/crams/HG00420.final.cram.crai
MP0VI8Y	HG00423	data/crams/HG00423.final.cram	data/crams/HG00423.final.cram.crai
9XY04PG	HG00427	data/crams/HG00427.final.cram	data/crams/HG00427.final.cram.crai
9O0E6OX	HG00429	data/crams/HG00429.final.cram	data/crams/HG00429.final.cram.crai
90MBKP0	HG00438	data/crams/HG00438.final.cram	data/crams/HG00438.final.cram.crai
34XZ6W2	HG00444	data/crams/HG00444.final.cram	data/crams/HG00444.final.cram.crai
F5CH3L0	HG00450	data/crams/HG00450.final.cram	data/crams/HG00450.final.cram.crai
Y0TAA5Z	HG00453	data/crams/HG00453.final.cram	data/crams/HG00453.final.cram.crai
I0JH1PS	HG00459	data/crams/HG00459.final.cram	data/crams/HG00459.final.cram.crai
P4ISXLY	HG00465	data/crams/HG00465.final.cram	data/crams/HG00465.final.cram.crai
LEH9F0K	HG00474	data/crams/HG00474.final.cram	data/crams/HG00474.final.cram.crai
53FEOOS	HG00477	data/crams/HG00477.final.cram	data/crams/HG00477.final.cram.crai
J8EM0GC	HG00480	data/crams/HG00480.final.cram	data/crams/HG00480.final.cram.crai
0KMMQQM	HG00501	data/crams/HG00501.final.cram	data/crams/HG00501.final.cram.crai
8N7E1WL	HG00502	data/crams/HG00502.final.cram	data/crams/HG00502.final.cram.crai
4W1LH0O	HG00512	data/crams/HG00512.final.cram	data/crams/HG00512.final.cram.crai
EQBWTJK	HG00514	data/crams/HG00514.final.cram	data/crams/HG00514.final.cram.crai
JSI3AR9	HG00526	data/crams/HG00526.final.cram	data/crams/HG00526.final.cram.crai
W59U81W	HG00532	data/crams/HG00532.final.cram	data/crams/HG00532.final.cram.crai
ZEH938S	HG00535	data/crams/HG00535.final.cram	data/crams/HG00535.final.cram.crai
FS4XLLC	HG00538	data/crams/HG00538.final.cram	data/crams/HG00538.final.cram.crai
HCW72N6	HG00544	data/crams/HG00544.final.cram	data/crams/HG00544.final.cram.crai
WBZY3XW	HG00552	data/crams/HG00552.final.cram	data/crams/HG00552.final.cram.crai
PWRJ3KX	HG00555	data/crams/HG00555.final.cram	data/crams/HG00555.final.cram.crai
Y58NNSZ	HG00558	data/crams/HG00558.final.cram	data/crams/HG00558.final.cram.crai
7T872WT	HG00561	data/crams/HG00561.final.cram	data/crams/HG00561.final.cram.crai
N9V3EKX	HG00567	data/crams/HG00567.final.cram	data/crams/HG00567.final.cram.crai
N1L5MSP	HG00577	data/crams/HG00577.final.cram	data/crams/HG00577.final.cram.crai
2TZ4OWU	HG00578	data/crams/HG00578.final.cram	data/crams/HG00578.final.cram.crai
TGCLO7T	HG00579	data/crams/HG00579.final.cram	data/crams/HG00579.final.cram.crai
1LWW8Y6	HG00582	data/crams/HG00582.final.cram	data/crams/HG00582.final.cram.crai
43HDQKS	HG00585	data/crams/HG00585.final.cram	data/crams/HG00585.final.cram.crai
